player_id,family_name,given_name,wikipedia_title,image_url
P-03484,Aaronson,Brenden,Brenden_Aaronson,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Brenden_Aaronson_USMNT_v_Belgium_Mar_28_2026-58.jpg/500px-Brenden_Aaronson_USMNT_v_Belgium_Mar_28_2026-58.jpg
P-03523,Abalo,Jean-Paul,Jean-Paul_Abalo,https://upload.wikimedia.org/wikipedia/commons/f/f6/Jean-Paul_Abalo.jpg
P-84073,Abam,Michaela,Michaela_Abam,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Michaela_Abam.png/500px-Michaela_Abam.png
P-75462,Abate,Ignazio,Ignazio_Abate,https://upload.wikimedia.org/wikipedia/commons/9/93/Ignazio_Abate_and_Jordi_Alba_Euro_2012_final_%28cropped%29.JPG
P-78277,Abbadie,Julio,Julio_Abbadie,https://upload.wikimedia.org/wikipedia/commons/a/a3/Julio_Abbadie_%28cropped%29.jpg
P-07698,Abbé,Caroline,Caroline_Abbé,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/C15_Caroline_Abbe_111023_Sverige-Schweiz_3-0_8318.jpg/500px-C15_Caroline_Abbe_111023_Sverige-Schweiz_3-0_8318.jpg
P-81393,Abbiati,Christian,Christian_Abbiati,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Christian_Abbiati_%E2%80%93_A.C._Milan.jpg/500px-Christian_Abbiati_%E2%80%93_A.C._Milan.jpg
P-86290,Abbondanzieri,Roberto,Roberto_Abbondanzieri,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Roberto_Abbondanzieri.jpg/500px-Roberto_Abbondanzieri.jpg
P-29161,Abdel Shafy,Mohamed,Mohamed_Abdel_Shafy,https://upload.wikimedia.org/wikipedia/commons/9/95/AbdelShafy.jpg
P-73679,Abdel-Hamid,Gamal,Gamal_Abdel-Hamid,https://upload.wikimedia.org/wikipedia/commons/2/2d/Gamal_Abdel-Hamid.png
P-62193,Abdelghani,Magdi,Magdi_Abdelghani,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/%D9%85%D8%AC%D8%AF%D9%8A_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%BA%D9%86%D9%8A.png/500px-%D9%85%D8%AC%D8%AF%D9%8A_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D8%BA%D9%86%D9%8A.png
P-64924,Abdi,Ali,Ali_Abdi_(footballer),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Abdi_asse_ogcn_2425.png/500px-Abdi_asse_ogcn_2425.png
P-98081,Abdollahi,Nasrollah,Nasrollah_Abdollahi,https://upload.wikimedia.org/wikipedia/commons/1/16/Nasrollah_Abdollahi.jpg
P-94880,Abdoun,Djamel,Djamel_Abdoun,https://upload.wikimedia.org/wikipedia/commons/7/74/Olimpicos_tren_2012_%281%29.jpg
P-21820,Abdul Samed,Salis,Salis_Abdul_Samed,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Lens_-_Reims_%2812-05-2023%29_45.jpg/500px-Lens_-_Reims_%2812-05-2023%29_45.jpg
P-77199,Abdulghani,Hussein,Hussein_Sulaimani,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/BPpt3orCAAEWqDv.jpg/500px-BPpt3orCAAEWqDv.jpg
P-08125,Abdulhamid,Saud,Saud_Abdulhamid,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Saudi_Arabia_v_Oman_%282%29_%28cropped%29.jpg/500px-Saudi_Arabia_v_Oman_%282%29_%28cropped%29.jpg
P-03048,Abdullah,Majed,Majed_Abdullah,https://upload.wikimedia.org/wikipedia/commons/0/0a/Majed_Abdullah_in_1984.jpg
P-75724,Abdullahi,Shehu,Shehu_Abdullahi,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Shehu_Abdullahi_Rio_2016b.jpg/500px-Shehu_Abdullahi_Rio_2016b.jpg
P-00148,Abe,Yuki,Yuki_Abe,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Yuki_Abe_7.05.2011.jpg/500px-Yuki_Abe_7.05.2011.jpg
P-56772,Abedzadeh,Ahmad Reza,Ahmad_Reza_Abedzadeh,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Ahmadreza_Abedzadeh_20170303_04.jpg/500px-Ahmadreza_Abedzadeh_20170303_04.jpg
P-80505,Abedzadeh,Amir,Amir_Abedzadeh,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Amir_Abedzadeh_in_Iran_national_football_team.jpg/500px-Amir_Abedzadeh_in_Iran_national_football_team.jpg
P-85334,Abegglen,André,André_Abegglen,https://upload.wikimedia.org/wikipedia/commons/3/31/Andre_abegglen.jpg
P-99390,Abel,not applicable,Abel_Braga,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/ABEL_BRAGA_%2851839163546%29_%28cropped%29.png/500px-ABEL_BRAGA_%2851839163546%29_%28cropped%29.png
P-24945,Abelardo,not applicable,Abelardo_Fernández,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Abelardo_with_Sporting_Gij%C3%B3n_%28cropped%29.jpg/500px-Abelardo_with_Sporting_Gij%C3%B3n_%28cropped%29.jpg
