player_id,family_name,given_name,wikipedia_title,reason
P-00034,Alfonso,not applicable,Alfonso_Pérez,no_image_on_page
P-00077,Assemoassa,Ludovic,Ludovic_Assemoassa,no_image_on_page
P-00109,Oliveira,Luís,Luís_Oliveira,no_image_on_page
P-00146,Ostrowski,Marek,Marek_Ostrowski,no_image_on_page
P-00153,Baljić,Mirsad,Mirsad_Baljić,no_image_on_page
P-00189,Gallacher,Kevin,Kevin_Gallacher,no_image_on_page
P-00234,Musabah,Muhsin,Muhsin_Musabah,no_image_on_page
P-00262,Hadžiabdić,Enver,Enver_Hadžiabdić,no_image_on_page
P-00266,Ivan,Marian,Marian_Ivan,no_image_on_page
P-00279,Afonsinho,not applicable,"Afonsinho_(footballer,_born_1914)",no_image_on_page
P-00281,Mock,Hans,Hans_Mock,no_image_on_page
P-00325,Cris,not applicable,Ana_Cristina_da_Silva,no_image_on_page
P-00356,Joacim,Constant,Constant_Joacim,no_image_on_page
P-00384,Mohamed,Habib,Habib_Mohamed,no_image_on_page
P-00386,López,Noelia,Noelia_López_(footballer),no_image_on_page
P-00390,Park,Jae-seung,Park_Jae-seung,no_image_on_page
P-00429,Núñez,Jorge,"Jorge_Núñez_(footballer,_born_1978)",no_image_on_page
P-00436,Ebimiekumo,Phoebe,Phoebe_Ebimiekumo,no_image_on_page
P-00439,Younger,Tommy,Tommy_Younger,no_image_on_page
P-00452,Allchurch,Len,Len_Allchurch,no_image_on_page
P-00480,Im,Seung-hwi,Im_Seung-hwi,no_image_on_page
P-00489,Otero,Celso,Celso_Otero,no_image_on_page
P-00522,Estrada,Andrés,Andrés_Estrada,no_image_on_page
P-00548,Mavrič,Matej,Matej_Mavrič,no_image_on_page
P-00556,Rapp,Anita,Anita_Rapp,no_image_on_page
P-00573,Tesse,Manuela,Manuela_Tesse,no_image_on_page
P-00585,Al-Ghamdi,Omar,Omar_Al-Ghamdi,no_image_on_page
P-00618,Ortuño,Washington,Washington_Ortuño,no_image_on_page
P-00640,Jaziri,Ziad,Ziad_Jaziri,no_image_on_page
P-00649,Cimirotič,Sebastjan,Sebastjan_Cimirotič,no_image_on_page
P-00668,Melki,Mourad,Mourad_Melki,no_image_on_page
P-00683,Al-Yami,Al Hasan,Al_Hasan_Al-Yami,no_image_on_page
P-00685,Abid,Anad,Anad_Abid,no_image_on_page
P-00707,Hrstić,Miloš,Miloš_Hrstić,no_image_on_page
P-00708,Fernando,not applicable,Fernando_Guidicelli,no_image_on_page
P-00733,Gentle,James,James_Gentle,no_image_on_page
P-00739,Mialo,Mwape,Mwape_Mialo,no_image_on_page
P-00740,Svanström,Kurt,Kurt_Svanström,no_image_on_page
P-00793,Vonlanthen,Marcel,Marcel_Vonlanthen,no_image_on_page
P-00796,Dunlop,George,George_Dunlop_(footballer),no_image_on_page
P-00891,Larsson,Lennart,Lennart_Larsson_(footballer),no_image_on_page
P-00941,Vergés,Martí,Martí_Vergés,no_image_on_page
P-01039,Yusuf,Ayisat,Ayisat_Yusuf,no_image_on_page
P-01062,Tahiru,Rumanatu,Rumanatu_Tahiru,no_image_on_page
P-01092,González,Manuela,Manuela_González_(footballer),no_image_on_page
P-01106,Scott,Laurie,Laurie_Scott_(footballer),no_image_on_page
P-01116,González,Alberto,Alberto_González_Gonzalito,no_image_on_page
P-01211,Gutiérrez,Miguel,Miguel_Gutiérrez_(Mexican_footballer),no_image_on_page
P-01224,Shawky,Ayman,Ayman_Shawky,no_image_on_page
P-01259,Jara,Claudio,Claudio_Jara,no_image_on_page
P-01275,Olsson,Ing-Marie,Ing-Marie_Olsson,no_image_on_page
P-01298,Jozić,Davor,Davor_Jozić,no_image_on_page
P-01355,Gould,Jonathan,Jonathan_Gould,no_image_on_page
P-01374,Duus,Bryony,Bryony_Duus,no_image_on_page
P-01410,Mencel,János,János_Mencel,no_image_on_page
P-01462,Camara,Henri,Henri_Camara,no_image_on_page
P-01514,Laursen,Jacob,Jacob_Laursen,no_image_on_page
P-01521,Cuburu,Samuel,Samuel_Cuburu,no_image_on_page
P-01597,Massamba,Kilasu,Kilasu_Massamba,no_image_on_page
P-01608,Solange,not applicable,Solange_(footballer),no_image_on_page
P-01632,Fiala,Jean-Pierre,Jean-Pierre_Fiala,no_image_on_page
P-01674,Bernard,Kurt,Kurt_Bernard,no_image_on_page
